id_user,username,phone_number,email,date_joined,user_password,first_name,last_name,is_staff
1,golivari0,85525687,golivari0@ucoz.ru,2023-01-21 03:44:03,$2a$04$BmqHeIvlQtRTdXhd5ZfbaO0vVpRbOJQbwT5hvuIo2h/usJhaT7k1m,Gerda,Olivari,0
2,fbending1,64228254,fbending1@nymag.com,2022-04-17 22:52:32,$2a$04$KC2wK6su/jSzEH8NJBqcyeGCQRcNLUMPnOLeMkB8gK1K23ocUyakS,Fay,Bending,0
3,oyuryshev2,48810437,oyuryshev2@slate.com,2021-01-24 18:40:52,$2a$04$j5A9E59JQi8LhtXFoujUnOU70qEayIWL55sUpZemiTzk7nCNrdaGK,Ole,Yuryshev,0
4,jnanni3,05878657,jnanni3@quantcast.com,2023-01-18 07:27:26,$2a$04$WBalb53pP0mxi0HexU/VDeCvVZM0tuFYURBdibCE7wXebRk9P03BS,Jerrome,Nanni,0
5,sdurand4,15890630,sdurand4@mit.edu,2022-11-01 10:04:35,$2a$04$fcpdXsDBN1jgXxSrGGqeYe4.pQszZzdpiuZUsBSM4K/Jr1JbmXyOa,Stormie,Durand,0
6,rforty5,27046374,rforty5@blogspot.com,2020-11-23 12:40:49,$2a$04$9a9GMq6ohx3V71TeAlakMu/tvOX6sDATQW22FJxhcIqirpAGlsrB2,Ruddie,Forty,0
7,wsustin6,02909957,wsustin6@youtube.com,2022-01-22 16:31:38,$2a$04$Dij4cQPCM3AK/F1pHlHPzu51QBeGQFF8lJa33N89xkWQ/gLU8ntYm,Wilma,Sustin,0
8,rclaiton7,05085104,rclaiton7@storify.com,2021-11-25 03:31:22,$2a$04$Kc4m2bbOhJ3Dc257VkLt8eh0vbuCLajT/29ktadIc76BqXscl.rvS,Reeva,Claiton,0
9,nhagan8,69358783,nhagan8@example.com,2022-12-17 20:31:46,$2a$04$lfZKn0HWHayp1Fugt4ZFMeI.kjtxAD1gWPi0BkLWpq.HtyLVKjhsi,Nevil,Hagan,0
10,amioni9,10137015,amioni9@angelfire.com,2021-01-23 08:32:08,$2a$04$KvgPJohTK54EgdLQ4MsVIuWXHZBhxpRAwuYNQXn3HsKUN7E0oZ3bi,Adriano,Mioni,0
11,ftrulockea,33795954,ftrulockea@dot.gov,2023-07-20 16:16:23,$2a$04$.gRdCByrVgniwdqxK/y.HelBNes5PvphNJ.LMBgG3qoQhWcix0qqa,Flora,Trulocke,0
12,rkalinskyb,04846964,rkalinskyb@xrea.com,2021-04-23 03:13:21,$2a$04$CgabZ/mPC7ty4O9qIAOCu.urYd1DNB7ZskZe8p5GtAjmP4km1GYSW,Rustin,Kalinsky,0
13,growntreec,50180969,growntreec@vimeo.com,2021-04-17 00:07:08,$2a$04$QX3fyX6XLPjr2R2A2lLH0ODTBBjiLb67fExxNxaopE8EEXEYhIBRG,Grissel,Rowntree,0
